Compound,DateHapp,Negative,Neutral,Positive,Tweets Ago,source
0.3182,2017-11-30 04:54:56+00:00,0.909,0.0,0.091,66,fox
0.7783,2017-12-03 02:50:03+00:00,0.63,0.0,0.37,66,nytimes
0.6952,2017-12-02 14:52:52+00:00,0.758,0.0,0.242,66,BBC
0.0,2017-11-30 21:10:19+00:00,1.0,0.0,0.0,65,CBS
0.0,2017-12-02 14:52:22+00:00,1.0,0.0,0.0,65,BBC
0.8834,2017-11-30 04:36:36+00:00,0.474,0.0,0.526,65,fox
-0.5574,2017-12-03 01:45:05+00:00,0.685,0.315,0.0,65,CNN
0.0,2017-12-03 02:37:51+00:00,1.0,0.0,0.0,65,nytimes
0.7884,2017-12-02 14:51:55+00:00,0.782,0.0,0.218,64,BBC
0.4019,2017-11-30 04:34:44+00:00,0.881,0.0,0.119,64,fox
-0.4404,2017-12-03 01:30:18+00:00,0.775,0.225,0.0,64,CNN
0.6115,2017-11-30 20:54:39+00:00,0.773,0.0,0.227,64,CBS
0.7269,2017-12-03 02:32:11+00:00,0.643,0.0,0.357,64,nytimes
0.765,2017-12-02 14:30:04+00:00,0.708,0.0,0.292,63,BBC
0.0,2017-12-03 02:14:57+00:00,1.0,0.0,0.0,63,nytimes
0.0,2017-11-30 17:40:02+00:00,1.0,0.0,0.0,63,CBS
-0.3182,2017-11-30 04:33:38+00:00,0.897,0.103,0.0,63,fox
0.0,2017-12-03 01:15:08+00:00,1.0,0.0,0.0,63,CNN
0.6808,2017-11-30 17:30:05+00:00,0.752,0.0,0.248,62,CBS
-0.7351,2017-12-03 02:00:09+00:00,0.733,0.267,0.0,62,nytimes
0.2732,2017-11-30 03:58:45+00:00,0.916,0.0,0.084,62,fox
0.7096,2017-12-03 01:00:15+00:00,0.753,0.0,0.247,62,CNN
0.0,2017-12-02 13:47:35+00:00,1.0,0.0,0.0,62,BBC
0.3612,2017-11-30 15:00:05+00:00,0.865,0.0,0.135,61,CBS
0.0,2017-11-30 03:16:02+00:00,1.0,0.0,0.0,61,fox
-0.3818,2017-12-02 13:33:03+00:00,0.843,0.157,0.0,61,BBC
-0.5719,2017-12-03 01:36:04+00:00,0.821,0.179,0.0,61,nytimes
-0.3612,2017-12-03 00:58:24+00:00,0.73,0.167,0.103,61,CNN
0.0,2017-11-30 12:00:03+00:00,1.0,0.0,0.0,60,CBS
-0.2144,2017-11-30 02:32:28+00:00,0.812,0.188,0.0,60,fox
0.0,2017-12-03 00:45:04+00:00,1.0,0.0,0.0,60,CNN
-0.7351,2017-12-03 01:30:02+00:00,0.592,0.408,0.0,60,nytimes
0.0,2017-12-02 13:03:03+00:00,1.0,0.0,0.0,60,BBC
-0.3595,2017-11-30 07:52:09+00:00,0.872,0.128,0.0,59,CBS
0.0,2017-11-30 02:31:28+00:00,1.0,0.0,0.0,59,fox
-0.296,2017-12-03 00:34:42+00:00,0.905,0.095,0.0,59,CNN
0.0,2017-12-02 12:33:04+00:00,1.0,0.0,0.0,59,BBC
0.0,2017-12-03 01:16:46+00:00,1.0,0.0,0.0,59,nytimes
0.6239,2017-11-30 04:09:55+00:00,0.55,0.0,0.45,58,CBS
0.3818,2017-12-03 01:09:58+00:00,0.867,0.0,0.133,58,nytimes
-0.7065,2017-11-30 01:34:39+00:00,0.567,0.304,0.129,58,fox
0.0,2017-12-03 00:30:21+00:00,1.0,0.0,0.0,58,CNN
-0.1027,2017-12-02 12:00:07+00:00,0.775,0.12,0.105,58,BBC
0.0,2017-12-02 11:24:49+00:00,1.0,0.0,0.0,57,BBC
-0.4215,2017-12-03 00:48:31+00:00,0.588,0.412,0.0,57,nytimes
0.0,2017-11-30 04:00:27+00:00,1.0,0.0,0.0,57,CBS
-0.1779,2017-11-30 01:25:48+00:00,0.815,0.107,0.077,57,fox
